,river_rank,river_km,station_id,station_name,station_lab,domain,lat,lon,IGLD85,hist_max,hist_mean,hist_min,min_yr,max_yr,avg_na,n_zeros,min_x,mean_x,max_x,x_resol,n_x_resol,n_hhwl_days,n_hhwl_yr
0,1,0.00436,2780,Sept-Iles,sep,4,50.1948,-66.3768,-1.55,4.24,1.52,-0.87,1972,2021,0.14171,690,-0.87,1.54557,4.24,0.01,1,16511,45
1,2,246.07565,2985,Rimouski,rim,4,48.4783,-68.5137,-2.26,5.54,2.25,-0.83,1984,2021,0.15099,203,-0.83,2.25434,5.54,0.01,1,12992,35
2,3,423.0165,3057,Saint-Joseph-de-la-Rive,sjr,4,47.4488,-70.3655,-3.39,8,3.36,-1.16,1967,2021,0.13067,334,-1.16,3.36984,8,0.01,1,17785,48
3,4,504.22902999999997,3110,Saint-Laurent-IO,slio,4,46.8582,-71.0033,-2.19,7.27,2.5,-0.64,1966,2021,0.4952,205,-0.61,2.63072,7,0.01,1,3007,8
4,5,514.1492099999999,3250,Lauzon,lau,4,46.8325,-71.1578,-1.98,7.07,2.55,-1.38,1960,2012,0.056889999999999996,702,-1.39,2.56588,6.96,0.01,2,18479,50
5,6,518.15797,3248,Vieux-Quebec,vqc,3,46.8111,-71.2018,-2.01,7.16,2.59,-0.77,2009,2021,0.16328,316,-0.77,2.6082,7.04,0.01,1,4281,11
6,7,546.63898,3280,Neuville,neu,3,46.6965,-71.5728,-1.38,6.48,2.47,-0.86,1961,2021,0.09525,143,-0.86,2.49427,6.48,0.01,1,20043,54
7,8,563.88553,3300,Portneuf,por,3,46.6812,-71.8772,-1.12,6.5,2.9,-0.56,1960,2021,0.14839000000000002,60,-0.56,2.5687900000000004,6.49,0.01,1,19623,53
8,9,585.6936099999999,3335,Deschaillons-sur-Saint-Laurent,des,3,46.561,-72.1062,0.7,5.65,1.9,-0.16,1961,2021,0.07856,20,-0.16,1.95459,5.65,0.01,1,21259,58
9,10,598.00712,3345,Batiscan,bat,3,46.5003,-72.2458,1.91,4.48,1.4,-0.9,1960,2021,0.07427,853,-0.9,1.37289,4.48,0.01,1,21514,58
10,11,613.1364599999999,3353,Becancour,bec,3,46.4003,-72.3795,2.59,3.98,1,-0.45,1985,2021,0.10064,2418,-0.45,1.1338,3.98,0.01,1,10559,28
11,12,626.48821,3360,TroisRivieres,trr,2,46.3405,-72.5392,2.93,4.61,1.2,-0.69,1960,2021,0.0423,3180,-0.39,1.18194,4.61,0.01,1,22404,61
12,13,636.20392,3365,Port-Saint-Francois,psf,2,46.2725,-72.6193,2.99,,,,1966,2021,0.14263,859,-0.34,1.24603,4.05,0.01,2,14910,40
13,14,657.33876,15975,LacSaintPierre,lsp,2,46.1948,-72.8955,3.39,3.93,0.99,-0.63,1961,2021,0.18256,4931,-0.63,1.03562,3.93,0.01,2,13914,38
14,15,680.97482,15930,Sorel,sor,2,46.0472,-73.1157,3.78,4.38,0.98,-0.46,1966,2021,0.04243,5451,-0.46,1.1562700000000001,4.38,0.01,1,20302,55
15,16,707.07542,15780,Contrecoeur-IOC,con,2,45.8327,-73.2832,4.36,4.12,0.84,-0.62,1992,2021,0.13788,9772,-0.62,0.9081600000000001,4.12,0.01,1,10181,27
16,17,727.6124599999999,15660,Varennes,var,2,45.6843,-73.4437,4.84,4.35,0.8,-0.62,1961,2021,0.07225,9507,-0.62,0.9673299999999999,4.35,0.01,2,21203,58
17,18,748.02562,15520,MontrealJetee1,mtr,1,45.5035,-73.5525,5.56,,0.84,-0.57,1960,2021,0.08037,8336,-0.57,1.09524,6.26,0.01,1,21803,59
18,19,768.5708900000001,15330,PointeClaire,ptc,1,45.4277,-73.8207,20.35,2.52,0.92,-0.3,1961,2020,0.05878,91,-0.3,0.9771799999999999,2.52,0.01,2,21122,57